"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","TOTAL","XPAR","XIMPAR","DIFERENCIA_PAR_IMPAR"
3,3,2,3,3,4,3,4,3,2,30.0,16,14,2.0
4,4,4,4,4,4,4,4,4,3,39.0,19,20,-1.0
3,3,4,3,3,3,3,3,3,4,32.0,16,16,0.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,3,3,3,3,3,4,3,3,3,32.0,15,17,-2.0
4,4,3,4,4,4,4,4,4,3,38.0,19,19,0.0
3,3,2,3,3,4,4,3,3,1,29.0,14,15,-1.0
4,4,3,3,3,3,3,3,3,3,32.0,16,16,0.0
4,4,3,4,4,3,4,4,4,3,37.0,18,19,-1.0
1,2,2,2,1,1,1,2,1,1,14.0,8,6,2.0
4,3,3,3,3,4,3,3,3,3,32.0,16,16,0.0
4,3,3,3,4,4,3,4,4,3,35.0,17,18,-1.0
4,3,3,3,3,4,4,3,3,3,33.0,16,17,-1.0
4,3,3,3,3,4,4,3,3,3,33.0,16,17,-1.0
3,3,1,2,1,4,2,3,4,1,24.0,13,11,2.0
3,4,4,4,4,4,4,4,4,3,38.0,19,19,0.0
3,2,2,2,1,3,2,2,3,2,22.0,11,11,0.0
4,3,2,2,3,4,4,4,3,2,31.0,15,16,-1.0
4,3,3,3,4,3,4,4,4,3,35.0,16,19,-3.0
4,4,3,4,4,4,4,4,4,3,38.0,19,19,0.0
2,3,3,3,3,2,3,2,2,3,26.0,13,13,0.0
1,2,2,3,3,3,2,3,2,2,23.0,13,10,3.0
4,4,3,4,4,4,3,4,4,3,37.0,19,18,1.0
4,3,4,3,4,4,3,3,3,4,35.0,17,18,-1.0
3,4,4,4,4,4,4,3,4,3,37.0,18,19,-1.0
4,4,4,4,4,4,4,4,4,3,39.0,19,20,-1.0
3,3,2,3,3,3,2,3,3,2,27.0,14,13,1.0
3,3,3,3,4,3,2,2,4,2,29.0,13,16,-3.0
3,3,2,3,4,3,3,3,2,2,28.0,14,14,0.0
4,4,3,4,3,4,4,4,3,3,36.0,19,17,2.0
3,3,3,3,3,3,3,4,3,2,30.0,15,15,0.0
4,3,3,3,4,4,3,3,3,3,33.0,16,17,-1.0
3,3,2,2,3,3,2,3,3,2,26.0,13,13,0.0
3,2,2,2,3,3,2,3,3,4,27.0,14,13,1.0
4,4,3,4,4,4,4,4,4,4,39.0,20,19,1.0
4,4,3,3,4,4,4,4,4,4,38.0,19,19,0.0
4,4,2,4,4,4,3,3,4,3,35.0,18,17,1.0
3,3,2,3,3,3,3,3,3,9,,,14,
4,3,3,3,3,3,3,3,3,3,31.0,15,16,-1.0
1,4,4,4,4,4,3,9,4,4,,,16,
4,3,3,3,3,3,3,3,3,3,31.0,15,16,-1.0
3,3,2,2,3,2,3,3,2,2,25.0,12,13,-1.0
3,4,2,3,4,4,4,2,2,4,32.0,17,15,2.0
4,4,3,3,3,3,3,3,3,3,32.0,16,16,0.0
3,4,3,3,4,4,3,4,4,4,36.0,19,17,2.0
4,2,4,1,4,3,2,2,3,2,27.0,10,17,-7.0
